ID,Date,Close_US,Open_US,High_US,Low_US,Volumn_US,Change_US,Open_SP,High_SP,Low_SP,Close_SP,Adj_Close_SP,Volumn_SP,Change_SP
116,1986/5/9,111.43,111.4,111.75,111.15,1.18K,-0.0054,237.13000499999998,238.00999500000003,235.850006,237.850006,237.850006,"137,400,000",0.003036313350560697
117,1986/5/12,110.61,111.05,111.2,110.5,0.68K,-0.0074,237.850006,238.52999900000003,237.020004,237.580002,237.580002,"125,400,000",-0.0011351860129866892
118,1986/5/13,111.89,111.05,112.2,110.8,0.71K,0.0116,237.580002,237.86999500000002,236.020004,236.41000400000001,236.41000400000001,"119,200,000",-0.004924648497982556
119,1986/5/14,111.69,112.0,112.3,111.6,0.45K,-0.0018,236.41000400000001,237.539993,235.850006,237.539993,237.539993,"132,100,000",0.004779785038199968
120,1986/5/15,112.06,111.75,112.3,111.65,0.38K,0.0033,237.539993,237.539993,233.92999300000002,234.42999300000002,234.42999300000002,"131,600,000",-0.013092532169940685
121,1986/5/16,113.16,112.93,113.25,112.7,0.63K,0.0098,234.42999300000002,234.42999300000002,232.25999500000003,232.75999500000003,232.75999500000003,"113,500,000",-0.0071236533287785935
122,1986/5/19,112.66,113.55,113.9,112.5,0.81K,-0.0044,232.75999500000003,233.539993,232.41000400000001,233.19999700000002,233.19999700000002,"85,840,000",0.0018903678013912685
123,1986/5/20,113.72,113.25,114.45,113.2,1.16K,0.0094,233.19999700000002,236.11999500000002,232.580002,236.11000099999998,236.11000099999998,"113,000,000",0.012478576489861438
124,1986/5/21,114.55,114.0,114.9,113.88,1.00K,0.0073,236.11000099999998,236.830002,235.44999700000002,235.44999700000002,235.44999700000002,"117,100,000",-0.0027953242014511622
125,1986/5/22,115.2,114.82,115.45,114.56,1.19K,0.0057,235.44999700000002,240.25,235.44999700000002,240.11999500000002,240.11999500000002,"144,900,000",0.019834351495022495
126,1986/5/23,115.36,115.48,115.75,115.0,0.59K,0.0014,240.11999500000002,242.16000400000001,240.11999500000002,241.350006,241.350006,"130,200,000",0.005122484697702873
127,1986/5/27,114.98,115.72,115.8,114.58,0.69K,-0.0033,241.350006,244.75999500000003,241.350006,244.75,244.75,"121,200,000",0.014087399691218538
128,1986/5/28,115.8,115.04,115.92,114.66,0.74K,0.0071,244.75,247.399994,244.75,246.63000499999998,246.63000499999998,"159,600,000",0.007681327885597478
129,1986/5/29,116.79,115.8,116.8,115.8,0.40K,0.0085,246.63000499999998,248.32000699999998,245.289993,247.979996,247.979996,"135,700,000",0.00547375004107881
130,1986/5/30,117.65,117.05,117.74,116.93,0.74K,0.0074,247.979996,249.190002,246.42999300000002,247.350006,247.350006,"151,200,000",-0.0025404871770382327
131,1986/6/2,117.65,118.15,118.35,117.2,0.81K,0.0,246.039993,247.74000499999997,243.830002,245.039993,245.039993,"120,600,000",-0.009339045659857383
132,1986/6/3,115.72,115.73,116.15,115.5,0.81K,-0.0164,245.039993,245.50999500000003,243.669998,245.50999500000003,245.50999500000003,"114,700,000",0.001918062411959105
133,1986/6/4,115.38,115.58,116.03,115.35,0.62K,-0.0029,245.50999500000003,246.30000299999998,242.58999599999999,243.940002,243.940002,"117,000,000",-0.0063948231517011725
134,1986/6/5,114.16,114.97,115.04,114.15,0.47K,-0.0106,243.940002,245.66000400000001,243.41000400000001,245.649994,245.649994,"110,900,000",0.007009887619825467
135,1986/6/6,113.5,113.95,113.95,113.35,0.51K,-0.0058,245.649994,246.07000699999998,244.42999300000002,245.669998,245.669998,"110,900,000",8.143293502380518e-05
136,1986/6/9,114.45,114.2,114.45,113.79,0.35K,0.0084,245.669998,245.669998,239.67999300000002,239.960007,239.960007,"123,300,000",-0.023242524713986454
137,1986/6/10,112.88,113.64,113.69,112.7,0.79K,-0.0137,239.960007,240.080002,238.229996,239.580002,239.580002,"125,000,000",-0.0015836180568205387
138,1986/6/11,112.98,112.8,113.11,112.6,0.52K,0.0009,239.580002,241.13000499999998,239.210007,241.13000499999998,241.13000499999998,"127,400,000",0.006469667697890641
139,1986/6/12,112.57,112.82,112.9,112.33,0.33K,-0.0036,241.24000499999997,241.63999900000002,240.69999700000002,241.49000499999997,241.49000499999997,"109,100,000",0.0014929705658156696
140,1986/6/13,112.69,113.15,113.15,112.6,0.41K,0.0011,241.710007,245.91000400000001,241.710007,245.729996,245.729996,"141,200,000",0.017557625211031123
141,1986/6/16,113.35,112.23,113.08,112.0,0.24K,0.0059,245.729996,246.5,245.169998,246.13000499999998,246.13000499999998,"112,100,000",0.0016278395251346643
142,1986/6/17,114.2,113.34,113.9,113.17,0.09K,0.0075,246.13000499999998,246.25999500000003,243.600006,244.350006,244.350006,"123,100,000",-0.0072319463854070756
143,1986/6/18,114.23,114.13,115.06,113.8,0.71K,0.0003,244.350006,245.25,242.57000699999998,244.99000499999997,244.99000499999997,"117,000,000",0.0026191896226102833
144,1986/6/19,114.25,114.3,114.65,114.2,0.26K,0.0002,244.99000499999997,245.80000299999998,244.05000299999998,244.059998,244.059998,"129,000,000",-0.0037961018042346703
145,1986/6/20,115.61,114.8,115.61,114.8,0.30K,0.0119,244.059998,247.600006,243.979996,247.580002,247.580002,"149,100,000",0.014422699454418582
146,1986/6/23,114.03,115.83,115.95,113.64,0.52K,-0.0137,247.580002,247.580002,244.44999700000002,245.25999500000003,245.25999500000003,"123,800,000",-0.00937073665586276
